[2026-08-27 11:08:45.941] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120883.23mm, 67333.45mm, -91.24deg]
[2026-08-27 11:08:45.941] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120883.23mm, 67333.45mm, -91.24deg]
[2026-08-27 11:08:45.941] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120883.23mm, 67333.45mm, -91.24deg]
[2026-08-27 11:08:45.941] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120883.23mm, 67333.45mm, -91.24deg]
[2026-08-27 11:08:45.960] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120883.23mm, 67333.45mm, -91.24deg]
[2026-08-27 11:08:45.960] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120868.40mm, 67333.18mm, -91.22deg]
[2026-08-27 11:08:45.960] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120868.40mm, 67333.18mm, -91.22deg]
[2026-08-27 11:08:45.960] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120868.40mm, 67333.18mm, -91.22deg]
[2026-08-27 11:08:45.960] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120868.40mm, 67333.18mm, -91.22deg]
[2026-08-27 11:08:45.960] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120868.40mm, 67333.18mm, -91.22deg]
[2026-08-27 11:08:45.960] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120868.40mm, 67333.18mm, -91.22deg]
[2026-08-27 11:08:45.980] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120868.40mm, 67333.18mm, -91.22deg]
[2026-08-27 11:08:45.980] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120853.55mm, 67332.92mm, -91.20deg]
[2026-08-27 11:08:45.980] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120853.55mm, 67332.92mm, -91.20deg]
[2026-08-27 11:08:45.980] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120853.55mm, 67332.92mm, -91.20deg]
[2026-08-27 11:08:45.980] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120853.55mm, 67332.92mm, -91.20deg]
[2026-08-27 11:08:45.981] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120853.55mm, 67332.92mm, -91.20deg]
[2026-08-27 11:08:45.981] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120853.55mm, 67332.92mm, -91.20deg]
[2026-08-27 11:08:46.000] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120853.55mm, 67332.92mm, -91.20deg]
[2026-08-27 11:08:46.000] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120838.71mm, 67332.65mm, -91.17deg]
[2026-08-27 11:08:46.000] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120838.71mm, 67332.65mm, -91.17deg]
[2026-08-27 11:08:46.000] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120838.71mm, 67332.65mm, -91.17deg]
[2026-08-27 11:08:46.000] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120838.71mm, 67332.65mm, -91.17deg]
[2026-08-27 11:08:46.000] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120838.71mm, 67332.65mm, -91.17deg]
[2026-08-27 11:08:46.001] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [120838.71mm, 67332.65mm, -91.17deg]
[2026-08-27 11:08:46.020] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120838.71mm, 67332.65mm, -91.17deg]
[2026-08-27 11:08:46.020] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120827.92mm, 67333.56mm, -91.29deg]
